Forum_ID,Discussion_Name,Date_Posted,Active,Course_id
100,Assignment Grades Available,2023-01-05 12:31:03,Y,COMP011
101,Bonus Marks Available,2023-03-15 9:41:28,N,COMP012
102,All of You Passed,2023-03-30 23:04:42,Y,COMP016
103,Assignment Grades Available,2023-03-25 14:10:12,N,COMP047
104,All of You Passed,2023-01-26 21:18:07,Y,COMP048
105,All of You Failed,2023-02-10 15:14:59,Y,COMP077
106,Exams are Around the Corner,2023-03-23 15:03:33,N,COMP109
107,Bonus Marks Available,2023-03-04 14:48:44,Y,COMP133
108,Exams are Around the Corner,2023-02-06 10:13:48,Y,COMP135
109,Make Sure You Studied,2023-01-09 23:53:39,Y,COMP149
110,Make Sure You Studied,2023-04-11 15:14:41,Y,COMP154
111,Assignment Grades Available,2023-01-13 6:15:50,Y,COMP155
112,All of You Failed,2023-01-27 2:19:23,N,COMP183
113,Bonus Marks Available,2023-01-28 15:35:29,Y,COMP267
114,Exams are Around the Corner,2023-02-21 10:30:52,Y,COMP268
115,All of You Passed,2023-04-11 9:25:31,Y,COMP270
116,Assignment Posted,2023-04-06 0:00:53,Y,COMP275
117,All of You Failed,2023-01-17 4:06:01,N,COMP318
118,All of You Failed,2023-02-14 8:12:09,Y,COMP320
119,All of You Passed,2023-03-14 15:32:57,Y,COMP331
120,All of You Failed,2023-02-17 8:49:40,N,COMP343
121,Assignment Grades Available,2023-03-25 17:59:11,N,COMP365
122,All of You Passed,2023-01-23 19:25:27,N,COMP369
123,All of You Passed,2023-01-16 2:08:09,Y,COMP376
124,Assignment Posted,2023-01-05 15:14:23,N,COMP446
125,All of You Failed,2023-03-28 8:20:06,Y,COMP459
126,Make Sure You Studied,2023-02-04 17:50:38,Y,COMP518
127,Assignment Grades Available,2023-01-26 0:09:17,Y,COMP576
128,Assignment Posted,2023-03-07 20:14:10,Y,COMP601
129,All of You Failed,2023-01-28 21:27:41,Y,COMP674
130,Assignment Grades Available,2023-03-19 23:23:38,Y,COMP680
131,Exams are Around the Corner,2023-01-29 12:34:32,Y,COMP682
132,All of You Passed,2023-01-22 12:26:36,N,COMP689
133,Assignment Grades Available,2023-03-24 21:22:22,N,COMP727
134,Exams are Around the Corner,2023-01-15 21:10:17,N,COMP778
135,Bonus Marks Available,2023-02-15 22:33:38,Y,COMP793
136,All of You Failed,2023-03-20 4:07:14,Y,COMP803
137,All of You Passed,2023-03-01 8:37:21,Y,COMP834
138,All of You Passed,2023-03-27 23:50:29,Y,COMP837
139,Exams are Around the Corner,2023-03-21 11:48:26,Y,COMP848
140,Bonus Marks Available,2023-04-20 0:41:07,Y,COMP862
141,Assignment Grades Available,2023-01-17 22:04:07,Y,COMP876
142,Assignment Posted,2023-03-01 19:20:27,N,COMP955
143,Assignment Posted,2023-01-04 7:34:38,Y,COMP994
144,Make Sure You Studied,2023-01-29 20:29:47,N,COMP995
145,Assignment Posted,2023-02-21 20:37:43,Y,GOVT009
146,Bonus Marks Available,2023-01-25 10:17:42,N,GOVT030
147,Exams are Around the Corner,2023-02-18 14:34:02,N,GOVT088
148,Exams are Around the Corner,2023-02-14 22:43:44,N,GOVT094
149,Assignment Grades Available,2023-04-04 8:29:06,N,GOVT221
150,Assignment Grades Available,2023-02-28 23:02:26,Y,GOVT231
151,Assignment Posted,2023-02-13 8:32:15,Y,GOVT242
152,All of You Failed,2023-02-09 2:39:34,Y,GOVT252
153,All of You Passed,2023-04-21 11:19:43,N,GOVT292
154,Assignment Posted,2023-01-19 6:25:02,Y,GOVT349
155,All of You Failed,2023-04-17 20:36:42,N,GOVT493
156,Bonus Marks Available,2023-04-08 14:30:42,N,GOVT501
157,Make Sure You Studied,2023-02-22 16:02:03,N,GOVT503
158,All of You Failed,2023-03-22 22:43:54,Y,GOVT519
159,Make Sure You Studied,2023-03-07 21:04:49,Y,GOVT557
160,Exams are Around the Corner,2023-03-05 12:44:52,Y,GOVT609
161,Bonus Marks Available,2023-03-09 20:41:36,Y,GOVT679
162,Assignment Grades Available,2023-01-11 2:30:54,N,GOVT702
163,All of You Failed,2023-01-13 20:56:02,N,GOVT769
164,Bonus Marks Available,2023-03-03 11:00:57,N,GOVT786
